Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"soldering iron ","to sold the components ",1,8.00,"https://www.aliexpress.com/item/1005011698632926.html?connected_by=trendpiper&aff_fcid=ef4259bfe8594555b6bbc652730af041-1779453446590-01150-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=ef4259bfe8594555b6bbc652730af041-1779453446590-01150-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress"
"keycaps ( 1u standard mechanical keycaps)","for the keys of the macropad",5,2.50,"https://www.aliexpress.com/item/1005007484333313.html?connected_by=trendpiper&aff_fcid=5778da92298140cd953d13a9842192fb-1779346488225-01903-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=5778da92298140cd953d13a9842192fb-1779346488225-01903-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress "
"resistor ( 330 to 470 ohms ) ","needed for LEDs ",2,0.04,"https://www.aliexpress.com/item/32920897823.html?connected_by=trendpiper&aff_fcid=92e4c147a8674ed5bb3fc55de849269a-1779453227712-01330-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=92e4c147a8674ed5bb3fc55de849269a-1779453227712-01330-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress "
"LEDs , 3mm or 5mm standard through hole","to match keycaps in macropad",2,0.10,"https://www.aliexpress.com/item/1005003199457519.html?connected_by=trendpiper&aff_fcid=94fdc80b20ca4645a4e07146f4f3c13a-1779346654634-02249-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=94fdc80b20ca4645a4e07146f4f3c13a-1779346654634-02249-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress "
"mechanical switches MX-compatible ","switches for board ",5,2.00,"https://www.aliexpress.com/item/1005011838889689.html?connected_by=trendpiper&aff_fcid=06befa96b4ef4ee3a2dbf922c1a801ca-1779347192314-07536-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=06befa96b4ef4ee3a2dbf922c1a801ca-1779347192314-07536-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress "
"RP2040 board ","microprocessor for macrpad",1,4.50,"https://www.aliexpress.com/item/1005008652799938.html?connected_by=trendpiper&aff_fcid=caf6e75de6084aadbd327efa429eb713-1779347122868-06603-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=caf6e75de6084aadbd327efa429eb713-1779347122868-06603-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress"
