Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"pcb ","the pcb for the project ",,11.00,"https://nilambaraelectronics.com/pcb-designing/?srsltid=AfmBOopjwglVb0evhBYIhbfIN-ET6Ur3RR0UAi4J2YSQTIdl4JE0Tj9a","nilambaraelectronics"
"keycaps ( 1u standard mechanical keycaps)","for the keys of the macropad",5,2.50,"https://www.aliexpress.com/item/1005007484333313.html?connected_by=trendpiper&aff_fcid=5778da92298140cd953d13a9842192fb-1779346488225-01903-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=5778da92298140cd953d13a9842192fb-1779346488225-01903-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress "
"mechanical switches MX-compatible ","switches for board ",5,2.00,"https://www.aliexpress.com/item/1005011838889689.html?connected_by=trendpiper&aff_fcid=06befa96b4ef4ee3a2dbf922c1a801ca-1779347192314-07536-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=06befa96b4ef4ee3a2dbf922c1a801ca-1779347192314-07536-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress "
"RP2040 board ","microprocessor for macrpad",1,4.50,"https://www.aliexpress.com/item/1005008652799938.html?connected_by=trendpiper&aff_fcid=caf6e75de6084aadbd327efa429eb713-1779347122868-06603-55XgYCV2&aff_fsk=55XgYCV2&aff_platform=link-c-tool&sk=55XgYCV2&aff_trace_key=caf6e75de6084aadbd327efa429eb713-1779347122868-06603-55XgYCV2&terminal_id=a762583917134f6a8769eb5f8ed7a556&afSmartRedirect=y","aliexpress"
